[2025-01-08 22:11:00.014992] 오늘의 매출 : 0 원
[2025-01-08 22:11:27.486208] 오늘의 매출 : 0 원
[2025-01-08 22:16:07.577684] 오늘의 매출 : 2,000 원
[2025-01-08 22:17:14.281405] 오늘의 매출 : 6,500 원
[2025-01-08 22:18:24.326564] 오늘의 매출 : 0 원
[2025-01-08 22:19:53.625403] 오늘의 매출 : 16,100 원
[2025-01-08 22:21:20.975666] 오늘의 매출 : 0 원
[2025-01-08 22:24:13.894087] 오늘의 매출 : 14,300 원
[2025-01-08 22:25:02.764677] 오늘의 매출 : 6,500 원
[2025-01-08 22:28:24.157602] 오늘의 매출 : 2,000 원
[2025-01-08 22:28:58.869172] 오늘의 매출 : 6,600 원
[2025-01-08 22:30:04.334111] 오늘의 매출 : 8,000 원
[2025-01-09 17:15:35.111022] 오늘의 매출 : 0 원
